,States,Populations,GDP per person,High Scool Grad,College Grad,Life Expectancy,Political Freedom,Job Security (Unemployment %age),Divorce Rate,Climate,Political Stability,Gender equality,Community Life,Divorce Rate I,QOL
0,Alabama,4874747,37508,82.1,21.9,75.35,1.5,5.8,3.7,32.806671,8.39,76.0,77.0,3,9.375082480170164
1,Alaska,739795,63610,91.0,27.9,78.05,1.5,7.6,3.6,61.370716,8.39,76.8,45.0,3,3.6955918808450594
2,Arizona,7016270,39583,85.6,25.900000000000002,80.0,1.5,5.8,3.5,33.729759,8.39,81.8,53.0,3,9.431119071938163
3,Arkansas,3004279,36714,82.9,19.5,76.05,1.5,5.6,3.7,34.969704,8.39,75.0,70.0,3,8.857944595915697
4,California,39536653,60359,80.7,30.099999999999998,80.45,1.5,5.9,5.5,36.116203,8.39,84.0,49.0,5,9.176561039130453
5,Colorado,5607154,54026,89.7,36.4,79.95,1.5,4.2,3.2,39.059811,8.39,80.0,47.0,2,8.834443996307467
6,Connecticut,3588184,62633,88.6,35.5,80.45,1.5,6.1,2.9,41.597782,8.39,76.7,43.0,2,8.43781895331571
7,Delaware,961939,63955,87.7,27.800000000000004,78.55,1.5,5.3,3.0,39.318523,8.39,82.19999999999999,52.0,2,9.039448032318642
8,District of Columbia,693972,159607,87.4,50.1,77.1,1.5,6.6,2.5,38.897438,8.39,87.0,53.0,1,12.1735925349812
9,Florida,20984400,39842,85.5,25.8,79.3,1.5,5.5,3.6,27.766279,8.39,85.0,54.0,3,10.808392075704832
10,Georgia,10429379,45925,84.3,27.3,77.45,1.5,5.8,3.5,33.040619,8.39,82.39999999999999,66.0,3,9.721486590191894
11,Hawaii,1427538,52869,89.9,29.5,80.8,1.5,4.2,3.5,21.094318,8.39,83.3,47.0,3,12.744850207490945
12,Idaho,1716943,36441,88.3,24.4,79.7,1.5,4.1,3.9,44.240459,8.39,75.0,51.0,3,6.8846076294424545
13,Illinois,12802023,55102,86.9,30.8,78.85,1.5,6.1,1.9,40.349457,8.39,80.0,51.0,1,8.68904461251571
14,Indiana,6666818,46427,87.0,22.7,77.45,1.5,4.7,3.1,39.849426,8.39,75.6,54.0,2,8.267534621996125
15,Iowa,3145711,52284,90.6,24.9,79.45,1.5,3.6,2.0,42.011539,8.39,77.8,55.00000000000001,1,8.294131122529645
16,Kansas,2913123,47435,89.2,29.799999999999997,78.35,1.5,4.2,2.4,38.5266,8.39,77.8,55.00000000000001,1,8.871172370206807
17,Kentucky,4454189,39277,81.9,20.5,75.95,1.5,5.5,3.7,37.66814,8.39,77.60000000000001,63.0,3,8.336379097484429
18,Louisiana,4684333,44372,81.9,21.4,75.65,1.5,6.5,1.9,31.169546,8.39,66.7,71.0,1,10.162276632380367
19,Maine,1335907,39521,90.3,26.8,79.15,1.5,4.2,3.2,44.693947,8.39,83.7,34.0,2,7.0993269434264805
20,Maryland,6052177,56375,88.1,36.1,78.5,1.5,5.2,2.5,39.063946,8.39,87.4,54.0,1,9.142038190765808
21,Massachusetts,6859819,66500,89.1,39.0,80.35,1.5,4.6,2.2,42.230171,8.39,80.80000000000001,33.0,1,8.64950300886965
22,Michigan,9962311,44201,88.7,25.2,78.2,1.5,5.9,2.8,43.326618,8.39,77.10000000000001,53.0,2,7.443652005354326
23,Minnesota,5576606,54805,91.8,31.8,80.9,1.5,3.6,3.2,45.694454,8.39,80.0,49.0,2,7.426996710084509
24,Mississippi,2984100,32447,81.0,19.5,75.05,1.5,7.0,2.9,32.741646,8.39,75.0,77.0,2,9.371370165864578
25,Missouri,6113532,43036,86.9,25.6,77.5,1.5,4.6,3.1,38.456085,8.39,79.10000000000001,60.0,2,8.559147208603449
26,Montana,1050493,39833,91.7,28.800000000000004,78.55,1.5,3.5,3.1,46.921925,8.39,75.2,48.0,2,6.523173389546121
27,Nebraska,1920076,54654,90.4,28.6,79.5,1.5,3.3,3.0,41.12537,8.39,73.1,54.0,2,8.312105940340238
28,Nevada,2998039,44812,84.7,21.7,77.95,1.5,5.9,4.5,38.313515,8.39,82.69999999999999,49.0,4,8.271814694715754
29,New Hampshire,1342795,52509,91.5,32.8,80.55,1.5,3.8,3.1,43.452492,8.39,76.9,33.0,2,7.735125872742274
30,New Jersey,9005644,56776,88.0,35.4,80.0,1.5,5.3,2.6,40.298904,8.39,80.0,55.00000000000001,1,8.834989191414746
31,New Mexico,2088070,41619,83.3,25.0,78.3,1.5,6.6,3.2,34.840515,8.39,82.69999999999999,56.99999999999999,2,9.365157269367073
32,New York,19849399,65220,84.9,32.5,80.25,1.5,5.5,2.7,42.165726,8.39,87.6,46.0,2,8.565003878067285
33,North Carolina,10273419,44706,84.7,26.5,77.7,1.5,5.3,3.1,35.630066,8.39,83.3,65.0,2,9.321117307910546
34,North Dakota,755393,64911,90.3,27.6,79.35,1.5,2.9,2.5,47.528912,8.39,75.8,53.0,1,7.403711997257068
35,Ohio,11658609,48188,88.1,24.6,77.65,1.5,5.2,2.9,40.388783,8.39,76.8,57.99999999999999,2,8.230286163632691
36,Oklahoma,3930864,44535,86.2,22.9,75.65,1.5,5.4,4.1,35.565342,8.39,80.0,66.0,4,8.815826408147151
